0,阿城,2015/4/1 0:00:00,12,-4,晴,西南风,小于3级~3-4级,116.057432700000010,36.172428730000000
30,安达,2015/4/1 0:00:00,12,-3,晴,西风,4-5级,125.384552400000000,46.535467130000001
60,安图,2015/4/1 0:00:00,13,-6,多云转晴,西北风~西风,小于3级,128.437651700000000,42.701033019999997
90,鞍山,2015/4/1 0:00:00,13,0,晴转多云,北风,4-5级~3-4级,123.007763299999990,41.118743680000001
120,阿鲁旗,2015/4/1 0:00:00,10,-4,晴转多云,东风,3-4级,104.269039300000000,25.020962730000001
150,阿巴嘎,2015/4/1 0:00:00,10,-6,晴转多云,西南风,4-5级,119.712977900000000,44.584151149999997
180,阿荣旗,2015/4/1 0:00:00,12,-4,晴转多云,西风,小于3级~3-4级,123.171954200000000,48.639988740000000
210,阿尔山,2015/4/1 0:00:00,7,-9,晴,西南风,3-4级,120.357533900000010,47.163696340000001
240,安新,2015/4/1 0:00:00,15,5,多云转小雨,北风~东风,小于3级,115.886731000000000,38.878255220000000
270,安国,2015/4/1 0:00:00,14,8,多云转小雨,北风~东风,小于3级,115.334826699999990,38.393739990000000
300,安平,2015/4/1 0:00:00,13,6,阴转小雨,东北风,3-4级,115.490415799999990,38.243195870000001
330,安泽,2015/4/1 0:00:00,16,9,小雨转小到中雨,北风,小于3级,112.307903700000000,36.164295529999997
360,安塞,2015/4/1 0:00:00,13,11,小雨转中雨,微风,小于3级,109.170681500000000,36.926919880000000
390,安康,2015/4/1 0:00:00,20,16,阴转小到中雨,微风,小于3级,109.038044600000010,32.704370449999999
420,安丘,2015/4/1 0:00:00,15,7,小雨,东北风,3-4级,119.155992299999990,36.335046470000002
450,阿拉尔,2015/4/1 0:00:00,20,6,阴,微风,小于3级,81.291736549999996,40.615680009999998
480,阿克苏,2015/4/1 0:00:00,20,8,阴转多云,微风,小于3级,81.156013150000007,40.349444300000002
510,阿瓦提,2015/4/1 0:00:00,20,8,阴,微风,小于3级,80.439931779999995,40.060787890000000
540,阿勒泰,2015/4/1 0:00:00,-4,-11,小雪,西风,3-4级,87.926214360000003,47.890135729999997
570,阿图什,2015/4/1 0:00:00,20,11,晴,微风,小于3级,76.867154020000001,40.131229699999999
600,阿克陶,2015/4/1 0:00:00,18,5,晴,微风,小于3级,75.258638110000007,38.632494330000000
630,阿合奇,2015/4/1 0:00:00,11,2,晴,西北风~微风,3-4级~小于3级,77.891628900000001,40.855268170000002
660,昂仁,2015/4/1 0:00:00,15,-1,阴转多云,微风,小于3级,86.629188189999994,29.956055390000000
690,安多,2015/4/1 0:00:00,3,-11,阴转多云,微风,小于3级,90.569314250000005,33.321681900000002
720,阿里,2015/4/1 0:00:00,8,-4,多云转阴,微风,小于3级,81.107668689999997,30.404556589999999
750,安定,2015/4/1 0:00:00,16,12,小雨,微风,小于3级,104.637623700000010,35.644415170000002
